Date,Actual,ARIMA_Forecast
2025-07-01,1522.320068359375,1494.630615234375
2025-07-02,1512.75830078125,1494.630615234375
2025-07-03,1511.76220703125,1494.630615234375
2025-07-04,1521.2244873046875,1494.630615234375
2025-07-07,1535.367919921875,1494.630615234375
2025-07-08,1531.4833984375,1494.630615234375
2025-07-09,1512.9573974609375,1494.630615234375
2025-07-10,1511.16455078125,1494.630615234375
2025-07-11,1489.2520751953125,1494.630615234375
2025-07-14,1477.7977294921875,1494.630615234375
2025-07-15,1479.4910888671875,1494.630615234375
2025-07-16,1479.690185546875,1494.630615234375
2025-07-17,1470.52685546875,1494.630615234375
2025-07-18,1470.12841796875,1494.630615234375
2025-07-21,1422.9169921875,1494.630615234375
2025-07-22,1407.179931640625,1494.630615234375
2025-07-23,1418.932861328125,1494.630615234375
2025-07-24,1397.3192138671875,1494.630615234375
2025-07-25,1386.1636962890625,1494.630615234375
2025-07-28,1382.080078125,1494.630615234375
2025-07-29,1411.4627685546875,1494.630615234375
2025-07-30,1404.4906005859375,1494.630615234375
2025-07-31,1384.669677734375,1494.630615234375
2025-08-01,1388.15576171875,1494.630615234375
2025-08-04,1405.885009765625,1494.630615234375
2025-08-05,1386.1636962890625,1494.630615234375
2025-08-06,1387.259521484375,1494.630615234375
2025-08-07,1383.8729248046875,1494.630615234375
2025-08-08,1362.35888671875,1494.630615234375
2025-08-11,1380.6856689453125,1494.630615234375
2025-08-12,1374.9088134765625,1494.630615234375
2025-08-13,1377.0999755859375,1494.630615234375
2025-08-14,1373.800048828125,1494.630615234375
2025-08-18,1381.699951171875,1494.630615234375
2025-08-19,1420.0999755859375,1494.630615234375
2025-08-20,1413.0,1494.630615234375
2025-08-21,1424.800048828125,1494.630615234375
2025-08-22,1409.199951171875,1494.630615234375
2025-08-25,1412.5999755859375,1494.630615234375
2025-08-26,1384.9000244140625,1494.630615234375
2025-08-28,1385.9000244140625,1494.630615234375
2025-08-29,1357.199951171875,1494.630615234375
2025-09-01,1353.9000244140625,1494.630615234375
2025-09-02,1366.5,1494.630615234375
2025-09-03,1372.5999755859375,1494.630615234375
2025-09-04,1359.300048828125,1494.630615234375
2025-09-05,1375.0,1494.630615234375
2025-09-08,1378.5,1494.630615234375
2025-09-09,1376.199951171875,1494.630615234375
2025-09-10,1377.0,1494.630615234375
2025-09-11,1383.300048828125,1494.630615234375
2025-09-12,1395.0,1494.630615234375
2025-09-15,1399.300048828125,1494.630615234375
2025-09-16,1405.300048828125,1494.630615234375
2025-09-17,1413.800048828125,1494.630615234375
2025-09-18,1415.0,1494.630615234375
2025-09-19,1407.4000244140625,1494.630615234375
2025-09-22,1390.5999755859375,1494.630615234375
2025-09-23,1389.800048828125,1494.630615234375
2025-09-24,1383.0,1494.630615234375
2025-09-25,1372.4000244140625,1494.630615234375
2025-09-26,1377.5999755859375,1494.630615234375
2025-09-29,1372.800048828125,1494.630615234375
2025-09-30,1364.0,1494.630615234375
2025-10-01,1368.699951171875,1494.630615234375
2025-10-03,1363.4000244140625,1494.630615234375
2025-10-06,1375.0,1494.630615234375
2025-10-07,1384.800048828125,1494.630615234375
2025-10-08,1367.4000244140625,1494.630615234375
2025-10-09,1377.800048828125,1494.630615234375
2025-10-10,1381.699951171875,1494.630615234375
2025-10-13,1375.0,1494.630615234375
2025-10-14,1375.9000244140625,1494.630615234375
2025-10-15,1374.300048828125,1494.630615234375
2025-10-16,1398.300048828125,1494.630615234375
2025-10-17,1416.800048828125,1494.630615234375
2025-10-20,1466.800048828125,1494.630615234375
2025-10-21,1465.199951171875,1494.630615234375
2025-10-23,1448.4000244140625,1494.630615234375
2025-10-24,1451.5999755859375,1494.630615234375
2025-10-27,1484.0999755859375,1494.630615234375
2025-10-28,1486.9000244140625,1494.630615234375
2025-10-29,1504.199951171875,1494.630615234375
2025-10-30,1488.5,1494.630615234375
2025-10-31,1486.4000244140625,1494.630615234375
2025-11-03,1484.699951171875,1494.630615234375
2025-11-04,1473.0999755859375,1494.630615234375
2025-11-06,1496.0999755859375,1494.630615234375
2025-11-07,1478.0,1494.630615234375
2025-11-10,1489.300048828125,1494.630615234375
2025-11-11,1493.4000244140625,1494.630615234375
2025-11-12,1511.5,1494.630615234375
2025-11-13,1510.9000244140625,1494.630615234375
2025-11-14,1518.9000244140625,1494.630615234375
2025-11-17,1518.300048828125,1494.630615234375
2025-11-18,1519.4000244140625,1494.630615234375
2025-11-19,1518.9000244140625,1494.630615234375
2025-11-20,1549.0999755859375,1494.630615234375
2025-11-21,1546.5999755859375,1494.630615234375
2025-11-24,1535.9000244140625,1494.630615234375
2025-11-25,1539.699951171875,1494.630615234375
2025-11-26,1569.9000244140625,1494.630615234375
2025-11-27,1563.4000244140625,1494.630615234375
2025-11-28,1567.5,1494.630615234375
2025-12-01,1566.0999755859375,1494.630615234375
2025-12-02,1546.300048828125,1494.630615234375
2025-12-03,1538.800048828125,1494.630615234375
2025-12-04,1535.5999755859375,1494.630615234375
2025-12-05,1540.5999755859375,1494.630615234375
2025-12-08,1543.0,1494.630615234375
2025-12-09,1529.4000244140625,1494.630615234375
2025-12-10,1536.9000244140625,1494.630615234375
2025-12-11,1545.0,1494.630615234375
2025-12-12,1556.5,1494.630615234375
2025-12-15,1556.199951171875,1494.630615234375
2025-12-16,1542.300048828125,1494.630615234375
2025-12-17,1544.4000244140625,1494.630615234375
2025-12-18,1544.4000244140625,1494.630615234375
2025-12-19,1565.0999755859375,1494.630615234375
2025-12-22,1575.4000244140625,1494.630615234375
2025-12-23,1570.699951171875,1494.630615234375
2025-12-24,1558.199951171875,1494.630615234375
2025-12-26,1559.199951171875,1494.630615234375
2025-12-29,1545.5999755859375,1494.630615234375
2025-12-30,1539.800048828125,1494.630615234375
